epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,280.978,0.60397,0.49193,0.97397,0.99904,1,0.995,0.94454,0.27471,0.23624,0.78629,0.000280723,0.000280723,0.000280723
170,282.533,0.57696,0.62762,1.01172,0.99905,1,0.995,0.9428,0.27726,0.23027,0.78494,0.000272471,0.000272471,0.000272471
171,284.115,0.64255,0.56539,1.07865,0.99906,1,0.995,0.94346,0.26661,0.22946,0.78089,0.00026422,0.00026422,0.00026422
172,285.608,0.57965,0.4332,0.9411,0.99904,1,0.995,0.96615,0.2466,0.22084,0.77309,0.000255968,0.000255968,0.000255968
173,287.075,0.50277,0.48269,0.96362,0.99903,1,0.995,0.9595,0.25572,0.21888,0.77431,0.000247716,0.000247716,0.000247716
174,288.547,0.63957,0.5305,1.02994,0.99904,1,0.995,0.95499,0.25576,0.22397,0.77416,0.000239465,0.000239465,0.000239465
175,290.003,0.51491,0.45112,0.93665,0.99903,1,0.995,0.95485,0.25445,0.2306,0.77334,0.000231213,0.000231213,0.000231213
176,291.5,0.6316,0.54146,1.04594,0.99902,1,0.995,0.95475,0.25184,0.22344,0.77224,0.000222961,0.000222961,0.000222961
177,292.986,0.53797,0.411,1.00628,0.99903,1,0.995,0.959,0.26788,0.22586,0.77474,0.00021471,0.00021471,0.00021471
178,294.466,0.46172,0.51701,0.9285,0.99905,1,0.995,0.96244,0.28735,0.23321,0.78056,0.000206458,0.000206458,0.000206458
179,295.974,0.8354,0.52607,1.29582,0.99905,1,0.995,0.96306,0.30583,0.24023,0.78638,0.000198206,0.000198206,0.000198206
180,297.495,0.55482,0.55295,0.99758,0.99908,1,0.995,0.96217,0.32042,0.24895,0.79424,0.000189955,0.000189955,0.000189955
181,298.983,0.54141,0.50377,0.97054,0.99911,1,0.995,0.96118,0.31713,0.25798,0.79606,0.000181703,0.000181703,0.000181703
